"Time","Callsign","Origin","Destination","FuelBurn","TrackMiles","AircraftType","FlightType","Routing","Waypoint","RoutingType","Scenario"
"06:44:27","ITE096#2","LKKB","LDZD",229.78,204.60001,"B350(MEDIUM)","IFR","OUTSIDE.FIR.NE_LDZD","OUTSIDE FIR NE","Arrival","Current"
"06:45:58","EZY38UA","EDDB","LDSP",890.13,218,"A319(MEDIUM)","IFR","SABAD_LDSP","SABAD","Arrival","Current"
"06:46:10","ASL55Q","LYBE","LJLJ",613.18,253.7,"AT72(MEDIUM)","IFR","TUVAR_LJLJ","TUVAR","Arrival","Current"
"06:46:46","RWZ535","UUDD","LDPL",753.93,183.39999,"A321(MEDIUM)","IFR","OUTSIDE.FIR.NE_LDPL","OUTSIDE FIR NE","Arrival","Current"
"06:49:05","CTN4AT","LDZA","LOWW",411.27,81.2,"DH8D(MEDIUM)","IFR","LDZA_OBUTI","OBUTI","Departure","Current"
"06:49:08","EZY43FU","EGKK","LDSP",846.73,211.5,"A320(MEDIUM)","IFR","SABAD_LDSP","SABAD","Arrival","Current"
"06:49:36","TDR812","LDZA","LDOS",225.28,119,"L410(MEDIUM)","IFR","LDZA_LDOS",NA,"Domestic","Current"
"06:49:57","NAX1904","ENGM","LDDU",1288.98,313.39999,"B738(MEDIUM)","IFR","PETOV_LDDU.1","PETOV","Arrival","Current"
"06:50:39","EWG45J","LDSP","EDDS",1939.58,242.7,"A319(MEDIUM)","IFR","LDSP_PEVAL.1","PEVAL 1","Departure","Current"
"06:50:48","JML200#2","LZIB","LDZD",447.63,194.10001,"E35L(MEDIUM)","IFR","KOPRY_LDZD","KOPRY","Arrival","Current"
"06:55:42","SLD203","LDLO","LDPL",78.17,33.1,"L410(MEDIUM)","VFR","LDLO_LDPL_1",NA,"Domestic","Current"
"06:57:11","EZY59QA","EHAM","LDDU",1189.7,314.89999,"A320(MEDIUM)","IFR","BUSET_LDDU","BUSET","Arrival","Current"
"06:58:43","PHHRK#3","EHAM","LDZA",63.3,86.3,"P180(MEDIUM)","IFR","ARGOM_LDZA","ARGOM","Arrival","Current"
"07:00:19","JAF37D","EBBR","LDSB",900.28,260.70001,"E190(MEDIUM)","IFR","PEVAL_LDSB","PEVAL","Arrival","Current"
"07:01:12","CTN5NL","LDZA","EHAM",1091.02,81.3,"A319(MEDIUM)","IFR","LDZA_OBUTI","OBUTI","Departure","Current"
"07:03:16","AUA682","LDZA","LOWW",406.75,81.2,"DH8D(MEDIUM)","IFR","LDZA_OBUTI","OBUTI","Departure","Current"
"07:03:40","EZY84ER","EDDB","LDZD",489.48,161.39999,"A319(MEDIUM)","IFR","BUSET_LDZD","BUSET","Arrival","Current"
"07:04:41","EZY26LM","LDSP","LIMC",2114.72,250.2,"A320(MEDIUM)","IFR","LDSP_ROTAR.1","ROTAR 1","Departure","Current"
"07:04:57","THY4JR","LDDU","LTBA",1128.27,76.9,"A320(MEDIUM)","IFR","LDDU_MOKUN","MOKUN","Departure","Current"
"07:05:10","TOM97Y","EGBB","LDPL",248.3,103.1,"B738(MEDIUM)","IFR","ROTAR_LDPL","ROTAR","Arrival","Current"
"07:06:29","AUA733Y","LOWW","LDDU",889.07,269,"E190(MEDIUM)","IFR","KOPRY_LDDU","KOPRY","Arrival","Current"
"07:07:46","CTN438P","LDSP","EDDM",873.22,226.60001,"DH8D(MEDIUM)","IFR","LDSP_ALIVO","ALIVO","Departure","Current"
"07:09:05","CTN320","LDZA","LKPR",411.27,81.2,"DH8D(MEDIUM)","IFR","LDZA_OBUTI","OBUTI","Departure","Current"
"07:10:45","AVW712P","LDDU","LIMZ",1647.13,203.5,"B463(MEDIUM)","IFR","LDDU_VELUG","VELUG","Departure","Current"
"07:11:14","EZY575T","EGSS","LDDU",1125.87,325.29999,"A319(MEDIUM)","IFR","PEVAL_LDDU.1","PEVAL","Arrival","Current"
"07:13:01","SAS1835","ESGG","LDSP",775.93,209.10001,"A320(MEDIUM)","IFR","DARZA_LDSP","DARZA","Arrival","Current"
"07:13:37","9ADWA","LDZD","LIPR",247.97,118.6,"C25A(MEDIUM)","IFR","LDZD_TORPO","TORPO","Departure","Current"
"07:13:45","CTN480","LDZA","EKCH",750.22,81.1,"CRJ9(MEDIUM)","IFR","LDZA_OBUTI","OBUTI","Departure","Current"
"08:09:31","IBK89V","LDSP","EKCH",2146.5,226.8,"B738(MEDIUM)","IFR","LDSP_PETOV","PETOV","Departure","Current"
"07:15:16","SRK3RM","LDZD","LDSB",322.17,94.4,"SB20(MEDIUM)","IFR","LDZD_LDSB",NA,"Domestic","Current"
"07:15:42","DCDTN#2","EDDR","LDZD",183.27,166.39999,"C25C(MEDIUM)","IFR","LABIN_LDZD","LABIN","Arrival","Current"
"07:15:57","SAS1831","ESSA","LDSP",905.78,229.60001,"B738(MEDIUM)","IFR","KOPRY_LDSP.1","KOPRY","Arrival","Current"
"07:17:56","NAX3AQ","ESSA","LDDU",1297.63,313.29999,"B738(MEDIUM)","IFR","PETOV_LDDU.1","PETOV","Arrival","Current"
"07:18:25","S5DMA#2","LJLJ","LDRI",27.87,70.6,"C182(MEDIUM)","VFR","ALIVO_LDRI","ALIVO","Arrival","Current"
"07:19:38","EWG2CT","LDZD","EDDT",1723.73,168,"A320(MEDIUM)","IFR","LDZD_BUSET","BUSET","Departure","Current"
"07:20:01","N331MS","LQBK","LJPZ",73.92,162.2,"C182(MEDIUM)","VFR","LQBK_LJPZ",NA,"Domestic","Current"
"07:20:16","EWG3YD","EDDL","LDPL",572.13,134,"A320(MEDIUM)","IFR","OUTSIDE.FIR.NW_LDPL","OUTSIDE FIR NW","Arrival","Current"
"07:21:52","FIN8KC","EFHK","LDDU",389.75,108.7,"A321(MEDIUM)","IFR","MOKUN_LDDU","MOKUN","Arrival","Current"
"07:23:57","OEAMR","LDZD","LOLW",62.83,159.89999,"TB21(MEDIUM)","VFR","LDZD_DARZA.1","DARZA 1","Departure","Current"
"07:25:09","9ABPR#4","LDPL","LDLO",3.52,30.9,"C172(MEDIUM)","VFR","LDPL_LDLO",NA,"Domestic","Current"
"07:26:22","EZS38CE","LDSP","LFSB",1975.32,250.89999,"A319(MEDIUM)","IFR","LDSP_ROTAR.1","ROTAR 1","Departure","Current"
"07:27:05","CTN4482","LDSP","EKCH",2006.43,226.8,"A320(MEDIUM)","IFR","LDSP_PETOV","PETOV","Departure","Current"
"07:29:38","GSW2989","LDZD","LSZH",1609.02,169.5,"A319(MEDIUM)","IFR","LDZD_PEVAL.1","PEVAL 1","Departure","Current"
"07:29:40","DLH3LL","EDDM","LDPL",142.53,92.7,"CRJ9(MEDIUM)","IFR","PEVAL_LDPL","PEVAL","Arrival","Current"
"07:29:45","EZY298U","EGSS","LDSP",887.35,211.5,"A319(MEDIUM)","IFR","SABAD_LDSP","SABAD","Arrival","Current"
"07:30:19","OMM703","LDPV","LDVA",5.78,135.8,"C172(SHORT)","VFR","LDPV_LDVA",NA,"Domestic","Current"
"07:34:04","IBK2604","EGKK","LDDU",1339.98,322.70001,"B738(MEDIUM)","IFR","LABIN_LDDU.1","LABIN","Arrival","Current"
"07:34:27","S5CBW","LJPZ","LJPZ",27.75,56.7,"PA34(MEDIUM)","IFR","LJPZ_LJPZ",NA,"Domestic","Current"
