"Sector","Count","FlightTypes","Scenario","Runway","Run"
"OUTSIDE_FIR_E",1,"IFR & VFR","Current","2","5"
"OUTSIDE_FIR_E",1,"IFR & VFR","PBN","1","1"
"OUTSIDE_FIR_E",2,"IFR & VFR","PBN","1","3"
"OUTSIDE_FIR_E",1,"IFR & VFR","PBN","1","4"
"OUTSIDE_FIR_E",1,"IFR & VFR","PBN","2","2"
"OUTSIDE_FIR_N",12,"Both IFR","Current","1","1"
"OUTSIDE_FIR_N",13,"Both IFR","Current","1","2"
"OUTSIDE_FIR_N",8,"Both IFR","Current","1","3"
"OUTSIDE_FIR_N",17,"Both IFR","Current","1","4"
"OUTSIDE_FIR_N",12,"Both IFR","Current","1","5"
"OUTSIDE_FIR_N",16,"Both IFR","Current","2","1"
"OUTSIDE_FIR_N",11,"Both IFR","Current","2","2"
"OUTSIDE_FIR_N",16,"Both IFR","Current","2","3"
"OUTSIDE_FIR_N",15,"Both IFR","Current","2","4"
"OUTSIDE_FIR_N",12,"Both IFR","Current","2","5"
"OUTSIDE_FIR_N",10,"Both IFR","PBN","1","1"
"OUTSIDE_FIR_N",15,"Both IFR","PBN","1","2"
"OUTSIDE_FIR_N",15,"Both IFR","PBN","1","3"
"OUTSIDE_FIR_N",15,"Both IFR","PBN","1","4"
"OUTSIDE_FIR_N",26,"Both IFR","PBN","1","5"
"OUTSIDE_FIR_N",14,"Both IFR","PBN","2","1"
"OUTSIDE_FIR_N",12,"Both IFR","PBN","2","2"
"OUTSIDE_FIR_N",17,"Both IFR","PBN","2","3"
"OUTSIDE_FIR_N",14,"Both IFR","PBN","2","4"
"OUTSIDE_FIR_N",19,"Both IFR","PBN","2","5"
"OUTSIDE_FIR_N",3,"Both VFR","Current","1","1"
"OUTSIDE_FIR_N",2,"Both VFR","Current","1","2"
"OUTSIDE_FIR_N",1,"Both VFR","Current","1","3"
"OUTSIDE_FIR_N",3,"Both VFR","Current","1","4"
"OUTSIDE_FIR_N",4,"Both VFR","Current","1","5"
"OUTSIDE_FIR_N",1,"Both VFR","Current","2","1"
"OUTSIDE_FIR_N",2,"Both VFR","Current","2","2"
"OUTSIDE_FIR_N",5,"Both VFR","Current","2","3"
"OUTSIDE_FIR_N",1,"Both VFR","Current","2","4"
"OUTSIDE_FIR_N",2,"Both VFR","Current","2","5"
"OUTSIDE_FIR_N",4,"Both VFR","PBN","1","1"
"OUTSIDE_FIR_N",2,"Both VFR","PBN","1","2"
"OUTSIDE_FIR_N",3,"Both VFR","PBN","1","3"
"OUTSIDE_FIR_N",4,"Both VFR","PBN","1","4"
"OUTSIDE_FIR_N",1,"Both VFR","PBN","1","5"
"OUTSIDE_FIR_N",2,"Both VFR","PBN","2","1"
"OUTSIDE_FIR_N",1,"Both VFR","PBN","2","3"
"OUTSIDE_FIR_N",1,"Both VFR","PBN","2","4"
"OUTSIDE_FIR_N",2,"Both VFR","PBN","2","5"
"OUTSIDE_FIR_N",2,"IFR & VFR","Current","1","1"
"OUTSIDE_FIR_N",1,"IFR & VFR","Current","1","2"
"OUTSIDE_FIR_N",1,"IFR & VFR","Current","1","4"
"OUTSIDE_FIR_N",1,"IFR & VFR","Current","1","5"
"OUTSIDE_FIR_N",3,"IFR & VFR","Current","2","3"
"OUTSIDE_FIR_N",2,"IFR & VFR","Current","2","4"
"OUTSIDE_FIR_N",4,"IFR & VFR","Current","2","5"
"OUTSIDE_FIR_N",2,"IFR & VFR","PBN","1","5"
"OUTSIDE_FIR_N",1,"IFR & VFR","PBN","2","1"
"OUTSIDE_FIR_W",8,"Both IFR","Current","1","1"
"OUTSIDE_FIR_W",2,"Both IFR","Current","1","3"
"OUTSIDE_FIR_W",3,"Both IFR","Current","1","4"
"OUTSIDE_FIR_W",2,"Both IFR","Current","1","5"
"OUTSIDE_FIR_W",1,"Both IFR","Current","2","2"
"OUTSIDE_FIR_W",4,"Both IFR","Current","2","3"
"OUTSIDE_FIR_W",1,"Both IFR","Current","2","5"
"OUTSIDE_FIR_W",3,"Both IFR","PBN","1","1"
"OUTSIDE_FIR_W",4,"Both IFR","PBN","1","2"
"OUTSIDE_FIR_W",2,"Both IFR","PBN","1","3"
"OUTSIDE_FIR_W",2,"Both IFR","PBN","1","4"
"OUTSIDE_FIR_W",5,"Both IFR","PBN","1","5"
"OUTSIDE_FIR_W",2,"Both IFR","PBN","2","1"
"OUTSIDE_FIR_W",2,"Both IFR","PBN","2","2"
"OUTSIDE_FIR_W",1,"Both IFR","PBN","2","4"
"OUTSIDE_FIR_W",1,"Both IFR","PBN","2","5"
"TMA_DUBROVNIK",10,"Both IFR","Current","1","1"
"TMA_DUBROVNIK",8,"Both IFR","Current","1","2"
"TMA_DUBROVNIK",8,"Both IFR","Current","1","3"
"TMA_DUBROVNIK",3,"Both IFR","Current","1","4"
"TMA_DUBROVNIK",8,"Both IFR","Current","1","5"
"TMA_DUBROVNIK",24,"Both IFR","Current","2","1"
"TMA_DUBROVNIK",31,"Both IFR","Current","2","2"
"TMA_DUBROVNIK",19,"Both IFR","Current","2","3"
"TMA_DUBROVNIK",20,"Both IFR","Current","2","4"
"TMA_DUBROVNIK",28,"Both IFR","Current","2","5"
"TMA_DUBROVNIK",4,"Both IFR","PBN","1","1"
"TMA_DUBROVNIK",3,"Both IFR","PBN","1","2"
"TMA_DUBROVNIK",5,"Both IFR","PBN","1","3"
"TMA_DUBROVNIK",1,"Both IFR","PBN","1","4"
"TMA_DUBROVNIK",4,"Both IFR","PBN","1","5"
"TMA_DUBROVNIK",7,"Both IFR","PBN","2","1"
"TMA_DUBROVNIK",2,"Both IFR","PBN","2","2"
"TMA_DUBROVNIK",6,"Both IFR","PBN","2","3"
"TMA_DUBROVNIK",7,"Both IFR","PBN","2","4"
"TMA_DUBROVNIK",5,"Both IFR","PBN","2","5"
"TMA_DUBROVNIK",1,"Both VFR","Current","1","3"
"TMA_DUBROVNIK",1,"Both VFR","PBN","2","4"
"TMA_DUBROVNIK",1,"IFR & VFR","Current","1","1"
"TMA_DUBROVNIK",1,"IFR & VFR","Current","1","4"
"TMA_DUBROVNIK",2,"IFR & VFR","Current","2","2"
"TMA_DUBROVNIK",1,"IFR & VFR","Current","2","4"
"TMA_DUBROVNIK",1,"IFR & VFR","PBN","1","1"
"TMA_DUBROVNIK",2,"IFR & VFR","PBN","1","2"
"TMA_DUBROVNIK",1,"IFR & VFR","PBN","2","5"
"TMA_DUBROVNIK",1,"Military","Current","1","4"
"TMA_DUBROVNIK",1,"Military","Current","1","5"
"TMA_DUBROVNIK",1,"Military","Current","2","2"
"TMA_OSIJEK",1,"Both IFR","Current","1","2"
"TMA_OSIJEK",1,"Both IFR","Current","1","5"
"TMA_OSIJEK",1,"Both IFR","Current","2","2"
"TMA_OSIJEK",1,"Both IFR","Current","2","3"
"TMA_OSIJEK",1,"Both IFR","Current","2","4"
"TMA_OSIJEK",2,"Both IFR","Current","2","5"
"TMA_OSIJEK",1,"Both IFR","PBN","1","1"
"TMA_OSIJEK",1,"Both IFR","PBN","1","2"
"TMA_OSIJEK",1,"Both IFR","PBN","1","3"
"TMA_OSIJEK",1,"Both IFR","PBN","1","4"
"TMA_OSIJEK",1,"Both IFR","PBN","2","2"
"TMA_OSIJEK",3,"Both IFR","PBN","2","4"
"TMA_PULA",3,"Both IFR","Current","1","1"
"TMA_PULA",4,"Both IFR","Current","1","2"
"TMA_PULA",1,"Both IFR","Current","1","3"
"TMA_PULA",2,"Both IFR","Current","1","4"
"TMA_PULA",5,"Both IFR","Current","1","5"
"TMA_PULA",9,"Both IFR","Current","2","1"
"TMA_PULA",8,"Both IFR","Current","2","2"
"TMA_PULA",7,"Both IFR","Current","2","3"
"TMA_PULA",7,"Both IFR","Current","2","4"
"TMA_PULA",8,"Both IFR","Current","2","5"
"TMA_PULA",2,"Both IFR","PBN","1","1"
"TMA_PULA",2,"Both IFR","PBN","1","2"
"TMA_PULA",3,"Both IFR","PBN","1","3"
"TMA_PULA",2,"Both IFR","PBN","1","4"
"TMA_PULA",1,"Both IFR","PBN","2","1"
"TMA_PULA",1,"Both IFR","PBN","2","2"
"TMA_PULA",2,"Both IFR","PBN","2","3"
"TMA_PULA",2,"Both IFR","PBN","2","4"
"TMA_PULA",1,"Both IFR","PBN","2","5"
"TMA_PULA",2,"Both VFR","Current","1","1"
"TMA_PULA",4,"Both VFR","Current","1","2"
"TMA_PULA",2,"Both VFR","Current","1","3"
"TMA_PULA",1,"Both VFR","Current","1","4"
"TMA_PULA",2,"Both VFR","Current","1","5"
"TMA_PULA",1,"Both VFR","Current","2","1"
"TMA_PULA",3,"Both VFR","Current","2","2"
