"Airport","Scenario","RoutingType","Waypoint","FuelBurn"
"LDSP","PBN","Departure","SABAD 1",4841.28
"LDPL","Current","Departure","SOMUN",792.25
"LDSP","Current","Departure","SOMUN",747.98
"LDPL","PBN","Departure","SOMUN",792.25
"LDSP","PBN","Departure","SOMUN",747.98
"LDDU","Current","Arrival","TORPO",4658.97
"LDSB","Current","Arrival","TORPO",460.95
"LDSP","Current","Arrival","TORPO",2241.81
"LDZD","Current","Arrival","TORPO",212.05
"LDDU","PBN","Arrival","TORPO",4658.97
"LDSB","PBN","Arrival","TORPO",460.95
"LDSP","PBN","Arrival","TORPO",2241.81
"LDZD","PBN","Arrival","TORPO",212.05
"LDSB","Current","Departure","TORPO",1853.13
"LDSP","Current","Departure","TORPO",2320.35
"LDZD","Current","Departure","TORPO",2225.72
"LDSB","PBN","Departure","TORPO",1853.13
"LDSP","PBN","Departure","TORPO",2320.35
"LDZD","PBN","Departure","TORPO",2225.72
"LDZA","Current","Arrival","TUVAR",649.85
"LDZA","PBN","Arrival","TUVAR",649.85
"LDZA","Current","Departure","TUVAR 1",11798.08
"LDZA","PBN","Departure","TUVAR 1",11798.08
"LDZA","Current","Arrival","VAKSU",1151.65
"LDZA","PBN","Arrival","VAKSU",1151.65
"LDDU","Current","Arrival","VAPUP",1071.87
"LDSP","Current","Arrival","VAPUP",733
"LDDU","PBN","Arrival","VAPUP",1071.87
"LDSP","PBN","Arrival","VAPUP",733
"LDDU","Current","Arrival","VEBAL",2353.15
"LDDU","PBN","Arrival","VEBAL",2353.15
"LDSB","Current","Departure","VEBAL",82.32
"LDSB","PBN","Departure","VEBAL",82.32
"LDSP","Current","Departure","VEBAL 3",29044.98
"LDSP","PBN","Departure","VEBAL 3",29044.98
"LDPL","Current","Arrival","VEBAR",726.03
"LDSP","Current","Arrival","VEBAR",643.57
"LDPL","PBN","Arrival","VEBAR",726.03
"LDSP","PBN","Arrival","VEBAR",643.57
"LDDU","Current","Departure","VEBAR",1893.1
"LDDU","PBN","Departure","VEBAR",1893.1
"LDDU","Current","Departure","VELUG",4897.43
"LDSP","Current","Departure","VELUG",5199.32
"LDDU","PBN","Departure","VELUG",4897.43
"LDSP","PBN","Departure","VELUG",5199.32
"LDDU","Current","Departure","XAMIT",3558.2
"LDZD","Current","Departure","XAMIT",3018.78
"LDDU","PBN","Departure","XAMIT",3558.2
"LDZD","PBN","Departure","XAMIT",3018.78
"LDZA","Current","Arrival","XOLTA",970.38
"LDZA","PBN","Arrival","XOLTA",970.38
"LDDU","Current","Departure","XOLTA",1682.72
"LDDU","PBN","Departure","XOLTA",1682.72
"LDDU","Current","Both","AIOSA",1665.67
"LDSP","Current","Both","AIOSA",631.47
"LDZA","Current","Both","AIOSA",287.58
"LDZD","Current","Both","AIOSA",1802.57
"LDDU","PBN","Both","AIOSA",1665.67
"LDSP","PBN","Both","AIOSA",631.47
"LDZA","PBN","Both","AIOSA",287.58
"LDZD","PBN","Both","AIOSA",1802.57
"LDDU","Current","Both","ALIVO",2286.23
"LDPL","Current","Both","ALIVO",6981.24
"LDRI","Current","Both","ALIVO",10060.82
"LDSP","Current","Both","ALIVO",3626.82
"LDDU","PBN","Both","ALIVO",2286.23
"LDPL","PBN","Both","ALIVO",6981.24
"LDRI","PBN","Both","ALIVO",10060.82
"LDSP","PBN","Both","ALIVO",3626.82
"LDZA","Current","Both","ARGOM",4760.55
"LDZA","PBN","Both","ARGOM",4760.55
"LDDU","Current","Both","ARMIX",1085
"LDRI","Current","Both","ARMIX",1689.85
