"Time","Sector","Entries","Scenario","Runway"
"11:40","TMA_ZAGREB",16,"Current","1"
"11:40","TMA_PULA",20,"Current","1"
"11:40","TMA_DUBROVNIK",14,"Current","1"
"11:40","TMA_SPLIT",20,"Current","1"
"11:40","TMA_ZADAR",10,"Current","1"
"11:40","TMA_OSIJEK",3,"Current","1"
"11:50","TMA_ZAGREB",11,"Current","1"
"11:50","TMA_PULA",19,"Current","1"
"11:50","TMA_DUBROVNIK",15,"Current","1"
"11:50","TMA_SPLIT",18,"Current","1"
"11:50","TMA_ZADAR",11,"Current","1"
"11:50","TMA_OSIJEK",3,"Current","1"
"12:00","TMA_ZAGREB",14,"Current","1"
"12:00","TMA_PULA",18,"Current","1"
"12:00","TMA_DUBROVNIK",16,"Current","1"
"12:00","TMA_SPLIT",15,"Current","1"
"12:00","TMA_ZADAR",10,"Current","1"
"12:00","TMA_OSIJEK",3,"Current","1"
"12:10","TMA_ZAGREB",11,"Current","1"
"12:10","TMA_PULA",17,"Current","1"
"12:10","TMA_DUBROVNIK",12,"Current","1"
"12:10","TMA_SPLIT",13,"Current","1"
"12:10","TMA_ZADAR",8,"Current","1"
"12:10","TMA_OSIJEK",1,"Current","1"
"12:20","TMA_ZAGREB",11,"Current","1"
"12:20","TMA_PULA",14,"Current","1"
"12:20","TMA_DUBROVNIK",14,"Current","1"
"12:20","TMA_SPLIT",16,"Current","1"
"12:20","TMA_ZADAR",6,"Current","1"
"12:20","TMA_OSIJEK",1,"Current","1"
"12:30","TMA_ZAGREB",13,"Current","1"
"12:30","TMA_PULA",13,"Current","1"
"12:30","TMA_DUBROVNIK",16,"Current","1"
"12:30","TMA_SPLIT",15,"Current","1"
"12:30","TMA_ZADAR",4,"Current","1"
"12:30","TMA_OSIJEK",1,"Current","1"
"12:40","TMA_ZAGREB",11,"Current","1"
"12:40","TMA_PULA",8,"Current","1"
"12:40","TMA_DUBROVNIK",14,"Current","1"
"12:40","TMA_SPLIT",18,"Current","1"
"12:40","TMA_ZADAR",6,"Current","1"
"12:40","TMA_OSIJEK",0,"Current","1"
"12:50","TMA_ZAGREB",13,"Current","1"
"12:50","TMA_PULA",8,"Current","1"
"12:50","TMA_DUBROVNIK",15,"Current","1"
"12:50","TMA_SPLIT",21,"Current","1"
"12:50","TMA_ZADAR",3,"Current","1"
"12:50","TMA_OSIJEK",0,"Current","1"
"13:00","TMA_ZAGREB",12,"Current","1"
"13:00","TMA_PULA",7,"Current","1"
"13:00","TMA_DUBROVNIK",13,"Current","1"
"13:00","TMA_SPLIT",20,"Current","1"
"13:00","TMA_ZADAR",4,"Current","1"
"13:00","TMA_OSIJEK",0,"Current","1"
"13:10","TMA_ZAGREB",10,"Current","1"
"13:10","TMA_PULA",8,"Current","1"
"13:10","TMA_DUBROVNIK",16,"Current","1"
"13:10","TMA_SPLIT",20,"Current","1"
"13:10","TMA_ZADAR",8,"Current","1"
"13:10","TMA_OSIJEK",0,"Current","1"
"13:20","TMA_ZAGREB",12,"Current","1"
"13:20","TMA_PULA",10,"Current","1"
"13:20","TMA_DUBROVNIK",17,"Current","1"
"13:20","TMA_SPLIT",20,"Current","1"
"13:20","TMA_ZADAR",8,"Current","1"
"13:20","TMA_OSIJEK",0,"Current","1"
"13:30","TMA_ZAGREB",12,"Current","1"
"13:30","TMA_PULA",11,"Current","1"
"13:30","TMA_DUBROVNIK",12,"Current","1"
"13:30","TMA_SPLIT",19,"Current","1"
"13:30","TMA_ZADAR",9,"Current","1"
"13:30","TMA_OSIJEK",0,"Current","1"
"13:40","TMA_ZAGREB",15,"Current","1"
"13:40","TMA_PULA",10,"Current","1"
"13:40","TMA_DUBROVNIK",12,"Current","1"
"13:40","TMA_SPLIT",16,"Current","1"
"13:40","TMA_ZADAR",7,"Current","1"
"13:40","TMA_OSIJEK",0,"Current","1"
"13:50","TMA_ZAGREB",13,"Current","1"
"13:50","TMA_PULA",8,"Current","1"
"13:50","TMA_DUBROVNIK",13,"Current","1"
"13:50","TMA_SPLIT",14,"Current","1"
"13:50","TMA_ZADAR",7,"Current","1"
"13:50","TMA_OSIJEK",0,"Current","1"
"14:00","TMA_ZAGREB",14,"Current","1"
"14:00","TMA_PULA",8,"Current","1"
"14:00","TMA_DUBROVNIK",16,"Current","1"
"14:00","TMA_SPLIT",16,"Current","1"
"14:00","TMA_ZADAR",6,"Current","1"
"14:00","TMA_OSIJEK",1,"Current","1"
"14:10","TMA_ZAGREB",16,"Current","1"
"14:10","TMA_PULA",9,"Current","1"
"14:10","TMA_DUBROVNIK",11,"Current","1"
"14:10","TMA_SPLIT",18,"Current","1"
"14:10","TMA_ZADAR",3,"Current","1"
"14:10","TMA_OSIJEK",1,"Current","1"
"14:20","TMA_ZAGREB",17,"Current","1"
"14:20","TMA_PULA",8,"Current","1"
"14:20","TMA_DUBROVNIK",12,"Current","1"
"14:20","TMA_SPLIT",17,"Current","1"
"14:20","TMA_ZADAR",5,"Current","1"
"14:20","TMA_OSIJEK",1,"Current","1"
"14:30","TMA_ZAGREB",16,"Current","1"
"14:30","TMA_PULA",8,"Current","1"
"14:30","TMA_DUBROVNIK",16,"Current","1"
"14:30","TMA_SPLIT",21,"Current","1"
"14:30","TMA_ZADAR",4,"Current","1"
"14:30","TMA_OSIJEK",1,"Current","1"
"14:40","TMA_ZAGREB",13,"Current","1"
"14:40","TMA_PULA",9,"Current","1"
"14:40","TMA_DUBROVNIK",16,"Current","1"
"14:40","TMA_SPLIT",19,"Current","1"
"14:40","TMA_ZADAR",5,"Current","1"
"14:40","TMA_OSIJEK",2,"Current","1"
"14:50","TMA_ZAGREB",12,"Current","1"
"14:50","TMA_PULA",9,"Current","1"
"14:50","TMA_DUBROVNIK",14,"Current","1"
"14:50","TMA_SPLIT",20,"Current","1"
"14:50","TMA_ZADAR",7,"Current","1"
"14:50","TMA_OSIJEK",2,"Current","1"
"15:00","TMA_ZAGREB",11,"Current","1"
"15:00","TMA_PULA",9,"Current","1"
"15:00","TMA_DUBROVNIK",18,"Current","1"
"15:00","TMA_SPLIT",19,"Current","1"
